agent,original_filename,filepath,extracted_title,suggested_name,confidence,extraction_status,approved
Education,KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,/home/darwin/PRES/Executive/Education/data/raw/KNEC-Strategic-Plan-2023-2027-Fina-Printed_compressed.pdf,KNEC STRATEGIC PLAN 2023-2027,2023-Strategic-Plan-KNEC-Education-Plan.pdf,HIGH,ok,
Education,Kenya-Education-Sector-Report-2024.pdf,/home/darwin/PRES/Executive/Education/data/raw/Kenya-Education-Sector-Report-2024.pdf,2024 Education Sector Report,2024-Strategic-Plan-MoE-Education-Sector.pdf,HIGH,partial,
Education,NASMLA-Grade-3-Study-1.pdf,/home/darwin/PRES/Executive/Education/data/raw/NASMLA-Grade-3-Study-1.pdf,NASMLA Grade 3 Study 1,2023-Research-Report-KNEC-NASMLA-Grade3-v1.pdf,LOW,failed,
Education,NG-CDF-Newsletter-Q2-6.pdf,/home/darwin/PRES/Executive/Education/data/raw/NG-CDF-Newsletter-Q2-6.pdf,NG-CDF Board Bulletin – Issue 2,2025-Bulletin-NG-CDF-Quarterly-Newsletter.pdf,HIGH,partial,
Education,National-Government-Constituency-Development-Funds-NGCDF-2023-2024.pdf,/home/darwin/PRES/Executive/Education/data/raw/National-Government-Constituency-Development-Funds-NGCDF-2023-2024.pdf,AUDITOR-GENERAL’S SUMMARY REPORT ON NATIONAL GOVERNMENT CONSTITUENCIES DEVELOPMENT FUND -2023/2024,2024-Audit-Report-NGCDF-Development-Fund.pdf,HIGH,ok,
Education,National-curriculum-policy-revised-on-may-9-2019.pdf,/home/darwin/PRES/Executive/Education/data/raw/National-curriculum-policy-revised-on-may-9-2019.pdf,NATIONAL CURRICULUM POLICY,2019-Policy-Ministry-Of-Education-National-Curriculum.pdf,HIGH,ok,
Education,"Report of the Auditor-General on National Government Constituencies Development Fund-Olkalau Constituency for the Year Ended 30 June,2025.pdf","/home/darwin/PRES/Executive/Education/data/raw/Report of the Auditor-General on National Government Constituencies Development Fund-Olkalau Constituency for the Year Ended 30 June,2025.pdf","REPORT OF THE AUDITOR-GENERAL ON NATIONAL GOVERNMENT CONSTITUENCIES DEVELOPMENT FUND-OLKALOU CONSTITUENCY FOR THE YEAR ENDED 30 JUNE,2025",2025-Audit-Report-OAG-National-Government-Const-Dev-Fund-Olkalou.pdf,HIGH,ok,
Education,Special-Audit-Report-on-Capitation-and-Infrastructure-Grants-in-Schools-2025.pdf,/home/darwin/PRES/Executive/Education/data/raw/Special-Audit-Report-on-Capitation-and-Infrastructure-Grants-in-Schools-2025.pdf,Special Audit Report on Capitation and Infrastructure Grants in Schools,2025-Audit-Report-MoE-School-Grants.pdf,LOW,failed,
Education,TASKFORCE-REPORT-CHANGES-ACCEPTED-2021.pdf,/home/darwin/PRES/Executive/Education/data/raw/TASKFORCE-REPORT-CHANGES-ACCEPTED-2021.pdf,"REPORT OF THE TASKFORCE ON ENHANCING ACCESS, RELEVANCE, TRANSITION, EQUITY AND QUALITY FOR EFFECTIVE CURRICULUM REFORMS IMPLEMENTATION",2020-Report-Ministry-Of-Education-Curriculum-Reform.pdf,HIGH,ok,
Education,kenya_education_act211.pdf,/home/darwin/PRES/Executive/Education/data/raw/kenya_education_act211.pdf,The Education Act,1980-Act-Ministry-Of-Education.pdf,HIGH,ok,
Education,kesp2005_2010.pdf,/home/darwin/PRES/Executive/Education/data/raw/kesp2005_2010.pdf,Kenya Education Sector Support Programme (KESSP) 2005-2010 Strategic Plan for the Development of School Infrastructure,2005-Strategic-Plan-MoEST-KESSP-Plan.pdf,HIGH,ok,
Education,nationaleducationsectstrategic plan-2018-2022.pdf,/home/darwin/PRES/Executive/Education/data/raw/nationaleducationsectstrategic plan-2018-2022.pdf,NATIONAL EDUCATION SECTOR STRATEGIC PLAN FOR THE PERIOD 2018 - 2022,2018-Strategic-Plan-MoE-National-Education.pdf,HIGH,ok,
Agriculture,1.-Final-FSRP-ESMF-October-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/1.-Final-FSRP-ESMF-October-2023.pdf,ENVIRONMENTAL AND SOCIAL MANAGEMENT FRAMEWORK (ESMF) FOR KENYA - FOOD SYSTEMS RESILIENCE PROJECT (FSRP),2023-Framework-Ministry-Of-Agriculture-Food-Resilience-v1.pdf,HIGH,partial,
Agriculture,2.-Final-FSRP-VMGF-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/2.-Final-FSRP-VMGF-october-2023.pdf,Vulnerable and Marginalized Groups Framework (VMGF) for the KENYA’S FOOD SYSTEM RESILIENCE PROJECT (FSRP),2023-Framework-Ministry-Of-Agriculture-VMGF.pdf,HIGH,partial,
Agriculture,2024-25-Kenya-Census-of-Agriculture-Pilot-Survey_1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/2024-25-Kenya-Census-of-Agriculture-Pilot-Survey_1.pdf,Kenya Census of Agriculture 2024 PILOT SURVEY,2024-Survey-KALRO-Kenya-Agriculture-Census.pdf,HIGH,ok,
Agriculture,3-Final-FSRP-RPF-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/3-Final-FSRP-RPF-october-2023.pdf,Resettlement Policy Framework for the Food Systems Resilience Project (FSRP),2023-Framework-Ministry-Of-Agriculture-Resettlement-Policy-v1.pdf,HIGH,partial,
Agriculture,5.-Final-FSRP-SMP-October-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/5.-Final-FSRP-SMP-October-2023.pdf,FSRP-SECURITY MANAGEMENT PLAN 2023,2023-Security-Management-Plan-MoALFD-FSRP.pdf,HIGH,ok,
Agriculture,6.-Final-FSRP-LMP-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/6.-Final-FSRP-LMP-october-2023.pdf,Labour Management Procedures Food Systems Resilience Project(P177816),2023-Guidelines-MoALFD-Labour-Management-Procedures.pdf,HIGH,partial,
Agriculture,7.-Final-FSRP-SEAH-october-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/7.-Final-FSRP-SEAH-october-2023.pdf,"FOOD SYSTEMS RESILIENCE PROJECT (FSRP) SEXUAL EXPLOITATION, ABUSE AND HARASSMENT (SEAH) PREVENTION AND RESPONSE PLAN",2023-Policy-KALRO-Food-Systems-Resilience-v1.pdf,MEDIUM,partial,
Agriculture,AFA-SECOND-QUARTER-E-BULLETIN-2024-25.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/AFA-SECOND-QUARTER-E-BULLETIN-2024-25.pdf,AFA SECOND QUARTER E-BULLETIN 2024-25,2024-Bulletin-AFA-Second-Quarter.pdf,HIGH,ok,
Agriculture,ANNUAL REPORT FCRI 2022-23.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/ANNUAL REPORT FCRI 2022-23.pdf,ANNUAL REPORT 2022-2023,2023-Annual-Report-FCRI-Food-Crops-Research.pdf,HIGH,partial,
Agriculture,ASTGS-Full-Version-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/ASTGS-Full-Version-1.pdf,AGRICULTURAL TRANSFORMATION AND GROWTH STRATEGY,2019-Strategic-Plan-KALRO-Agricultural-Transformation-v1.pdf,MEDIUM,ok,
Agriculture,Agricultural Biotechnology Annual_Nairobi_Kenya_12-21-2016.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural Biotechnology Annual_Nairobi_Kenya_12-21-2016.pdf,2016 Kenya's Agricultural Biotechnology Report,2016-Annual-Report-USAID-Agricultural-Biotechnology.pdf,HIGH,partial,
Agriculture,Agricultural-Finance-Corporation-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural-Finance-Corporation-1.pdf,AGRICULTURAL FINANCE CORPORATION ANNUAL REPORTS AND FINANCIAL STATEMENTS,2022-Annual-Report-AFC-Financial-Statements.pdf,HIGH,ok,
Agriculture,Agricultural-Finance-Corporationauditor general.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural-Finance-Corporationauditor general.pdf,"REPORT OF THE AUDITOR-GENERAL ON AGRICULTURAL FINANCE CORPORATION FOR THE YEAR ENDED 30 JUNE, 2024",2024-Audit-Report-AFC-Financial-Statements.pdf,HIGH,ok,
Agriculture,Animal-Disease-Act-Fees-and-Payments.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Animal-Disease-Act-Fees-and-Payments.pdf,THE ANIMAL DISEASES ACT,2021-Act-Kenya-Gazette-Animal-Disease-Act.pdf,HIGH,partial,
Agriculture,Avocado _Nairobi_Kenya_KE2025-0001.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Avocado _Nairobi_Kenya_KE2025-0001.pdf,Avocado,2025-Research-Report-KALRO-Avocado-Report.pdf,HIGH,partial,
Agriculture,BRI ANNUAL REPORT 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/BRI ANNUAL REPORT 2022-2023.pdf,BEEF RESEARCH INSTITUTE ANNUAL REPORT 2022- 2023,2023-Annual-Report-KALRO-BRI-Report.pdf,HIGH,ok,
Agriculture,Bulletin-2016fisheries.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Bulletin-2016fisheries.pdf,FISHERIES ANNUAL STATISTICAL BULLETIN 2016,2016-Bulletin-Department-Of-Fisheries-Statistics.pdf,HIGH,partial,
Agriculture,CATALOGUE-BREEDS-PUBLISHED-VERSION.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/CATALOGUE-BREEDS-PUBLISHED-VERSION.pdf,Kenya Livestock Breeds Catalogue,2023-Catalogue-KALRO-Kenya-Breeds.pdf,HIGH,ok,
Agriculture,Capacity-Building-Strategy-for-the-Agricultural-Sector-2016-2021.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Capacity-Building-Strategy-for-the-Agricultural-Sector-2016-2021.pdf,CAPACITY BUILDING STRATEGY FOR AGRICULTURE SECTOR,2017-Strategic-Plan-Ministry-Of-Agriculture-Capacity-Building.pdf,HIGH,partial,
Agriculture,Consolidated-Summary-Report-NCCE-2023-FINAL.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Consolidated-Summary-Report-NCCE-2023-FINAL.pdf,Consolidated Summary Report NCCE 2023,2023-Research-Report-KALRO-NCCE-Summary.pdf,MEDIUM,partial,
Agriculture,DRAFT-KASEP-POLICY-14.3.2022-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DRAFT-KASEP-POLICY-14.3.2022-1.pdf,KENYA AGRICULTURAL SECTOR EXTENSION POLICY (KASEP),2022-Policy-Ministry-Of-Agriculture-KASEP.pdf,HIGH,ok,
Agriculture,DRAFT-VEGETATIVELY-PROPAGATING-SEEDS-REGULATIONS-2023-For-National-Validation.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DRAFT-VEGETATIVELY-PROPAGATING-SEEDS-REGULATIONS-2023-For-National-Validation.pdf,"THE SEEDS AND PLANT VARIETIES (VEGETATIVELY PROPAGATING SEEDS) REGULATIONS, 2023",2023-Regulations-AFA-Vegetatively-Propagating-Seeds.pdf,HIGH,ok,
Agriculture,DRI Annual Report for 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DRI Annual Report for 2022-2023.pdf,DRI Annual Report for 2022-2023,2023-Annual-Report-KALRO-Dairy-Research.pdf,HIGH,partial,
Agriculture,DVS-magazine-2020-A-new-dawn-at-the-directorate-of-veterinary-services.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DVS-magazine-2020-A-new-dawn-at-the-directorate-of-veterinary-services.pdf,A new dawn at the directorate of veterinary services,2020-Bulletin-DVS-A-New-Dawn.pdf,HIGH,ok,
Agriculture,Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Environmental-and-Social-Management-Framework.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Environmental-and-Social-Management-Framework.pdf,Dairy Interventions for Mitigation and Adaptation (DaIMA) Funding Proposal,2023-Framework-KALRO-Dairy-Interventions-v1.pdf,MEDIUM,partial,
Agriculture,Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Indigenous-Peoples-Planning-Framework.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Indigenous-Peoples-Planning-Framework.pdf,Dairy Interventions for Mitigation and Adaptation (DaIMA) Funding Proposal,2023-Research-Report-KALRO-DaIMA-Funding-Proposal-v1.pdf,MEDIUM,partial,
Agriculture,December_2025_Monthly_weather_Forecast.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/December_2025_Monthly_weather_Forecast.pdf,CLIMATE OUTLOOK FOR DECEMBER AND CLIMATE REVIEW FOR NOVEMBER 2025,2025-Research-Report-KMD-Weather-Forecast.pdf,HIGH,partial,
Agriculture,Draft-Fertilizers-and-Animal-Foodstuffs-Fertilizers-Regulations-2021-Draft-for-national-validation.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Draft-Fertilizers-and-Animal-Foodstuffs-Fertilizers-Regulations-2021-Draft-for-national-validation.pdf,"Fertilizers and Animal Foodstuffs (Fertilizers), Regulations 2021",2021-Regulations-AFA-Fertilizers-Regulations.pdf,HIGH,ok,
Agriculture,Draft-National-Agriculture-Research-System-Policy-2021-May-25-2021.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Draft-National-Agriculture-Research-System-Policy-2021-May-25-2021.pdf,NATIONAL AGRICULTURAL RESEARCH SYSTEM POLICY 2021,2021-Policy-MoALFC-National-Agriculture-Research-System.pdf,HIGH,ok,
Agriculture,Field-Guide-1-Water-Management-for-Resilient-Livelihoods-in-Arid-Zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-1-Water-Management-for-Resilient-Livelihoods-in-Arid-Zones.pdf,Water Management for Building Resilient Livelihoods in the Arid Zones,2018-Guidelines-KALRO-Water-Management.pdf,MEDIUM,ok,
Agriculture,Field-Guide-2-Water-Harvesting-for-Resilient-Livelihoods-in-Semi-Arid-Zones_reduce.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-2-Water-Harvesting-for-Resilient-Livelihoods-in-Semi-Arid-Zones_reduce.pdf,Water Harvesting in Practice: Towards Building Resilient Livelihoods in Semi-Arid Zones,2018-Guidelines-WFP-Water-Harvesting.pdf,HIGH,ok,
Agriculture,Field-Guide-3-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-3-Pastoral-and-Agro-pastoral-Production-in-Arid-and-semi-arid-zones.pdf,FIELD PRACTITIONERS GUIDE NO. 3,2018-Guidelines-KALRO-Pastoral-Production.pdf,MEDIUM,ok,
Agriculture,Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Field-Guide-4-Human-Nutrition-in-Resource-Management-in-Arid-and-Semi-Arid-Zones.pdf,FIELD PRACTITIONERS GUIDE NO. 4 Mainstreaming Human Nutrition in Resource Management in the Arid and Semiarid Areas,2018-Guidelines-KALRO-Human-Nutrition-v4.pdf,MEDIUM,ok,
Agriculture,Food Crops Research Institute_ Annual Report 2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Food Crops Research Institute_ Annual Report 2024.pdf,Annual Report 2024,2024-Annual-Report-KALRO-Food-Crops.pdf,HIGH,ok,
Agriculture,GeRRI Annual Report 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/GeRRI Annual Report 2022-2023.pdf,Annual Report 2022/2023,2023-Annual-Report-KALRO-GeRRI.pdf,HIGH,ok,
Agriculture,Grain and Feed Annual_Nairobi_Kenya_3-15-2016.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Grain and Feed Annual_Nairobi_Kenya_3-15-2016.pdf,Grain and Feed Annual,2016-Research-Report-USDA-Grain-Feed-v1.pdf,HIGH,partial,
Agriculture,HRI Annual Report 2022 2023 Final.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/HRI Annual Report 2022 2023 Final.pdf,HORTICULTURE RESEARCH INSTITUTE FINANCIAL YEAR 2022/2023 ANNUAL REPORT,2023-Annual-Report-HRI-FY-2022-23.pdf,HIGH,ok,
Agriculture,IN-SITU_WATER_HARVESTING_TECHNOLOGIES_AND_FERTILIZ-1-2.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/IN-SITU_WATER_HARVESTING_TECHNOLOGIES_AND_FERTILIZ-1-2.pdf,"IN-SITU WATER HARVESTING TECHNOLOGIES AND FERTILIZER RATES INCREASE MAIZE AND BEAN YIELDS IN THE SEMI-ARID KATUMANI, KENYA",2022-Research-Report-KALRO-In-Situ-Water-Harvesting-v1.pdf,HIGH,partial,
Agriculture,KALRO - AMRI Katumani Annual Report - FY 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO - AMRI Katumani Annual Report - FY 2022-2023.pdf,KALRO - AMRI Katumani Annual Report - FY 2022-2023,2023-Annual-Report-KALRO-AMRI-Katumani.pdf,HIGH,ok,
Agriculture,KALRO ABIRI_ANNUAL REPORT_2022-2023 .pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO ABIRI_ANNUAL REPORT_2022-2023 .pdf,ANNUAL REPORT FOR FINANCIAL YEAR 2022/2023,2023-Annual-Report-KALRO-ABIRI-FY-2022-23.pdf,HIGH,partial,
Agriculture,KALRO ICRI Annual Report 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO ICRI Annual Report 2022-2023.pdf,KALRO ICRI Annual Report 2022-2023,2023-Annual-Report-KALRO-ICRI.pdf,HIGH,partial,
Agriculture,KALRO NRI 2022-2023 Annual Report.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO NRI 2022-2023 Annual Report.pdf,KALRO Kakamega 2022 Annual Report,2023-Annual-Report-KALRO-NRI-Annual-Report.pdf,HIGH,ok,
Agriculture,KALRO-TRI ANNUAL REPORT 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KALRO-TRI ANNUAL REPORT 2022-2023.pdf,ANNUAL TECHNICAL REPORT 2022-2023,2023-Annual-Report-KALRO-TRI.pdf,HIGH,partial,
Agriculture,KENYA-POST-HARVEST-MANAGEMENT-ON-FOOD-LOSS-AND-WASTE-REDUCTION-STRATEGY.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KENYA-POST-HARVEST-MANAGEMENT-ON-FOOD-LOSS-AND-WASTE-REDUCTION-STRATEGY.pdf,KENYA POSTHARVEST MANAGEMENT STRATEGY FOR FOOD LOSS AND WASTE REDUCTION,2024-Strategic-Plan-KALRO-Post-Harvest-Management.pdf,HIGH,ok,
Agriculture,KEPHIS_ANNUAL_REPORT_2019.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/KEPHIS_ANNUAL_REPORT_2019.pdf,ANNUAL REPORT AND FINANCIAL STATEMENTS 2019,2019-Annual-Report-KEPHIS-Financial-Statements.pdf,HIGH,ok,
Agriculture,Kenya-Agricultural-and-Livestock-Research-Organization-2022_2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Agricultural-and-Livestock-Research-Organization-2022_2023.pdf,Kenya Agricultural and Livestock Research Organization,2023-Annual-Report-KALRO-Strategic-Plan.pdf,MEDIUM,failed,
Agriculture,Kenya-Crop-Conditions-Bulletin-August-2021-3.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Crop-Conditions-Bulletin-August-2021-3.pdf,Kenya Crop Conditions Bulletin,2021-Bulletin-Ministry-Of-Agriculture-Crop-Conditions.pdf,HIGH,partial,
Agriculture,Kenya-Crop-Conditions-Bulletin-August-2021.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Crop-Conditions-Bulletin-August-2021.pdf,Kenya Crop Conditions Bulletin,2021-Bulletin-Ministry-Of-Agriculture-Crop-Conditions.pdf,HIGH,partial,
Agriculture,Kenya-Youth-in-Agribusiness-Strategy_signed-Copy.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Kenya-Youth-in-Agribusiness-Strategy_signed-Copy.pdf,KENYA YOUTH AGRIBUSINESS STRATEGY,2018-Strategic-Plan-Ministry-Of-Agriculture-Youth-Agribusiness.pdf,HIGH,ok,
Agriculture,Migratory-and-Invasive-Pests-and-Weeds-Management-Strategy-2022.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Migratory-and-Invasive-Pests-and-Weeds-Management-Strategy-2022.pdf,M&IPWM Strategy: 2022 - 2027,2022-Strategic-Plan-KALRO-Migratory-Pests-Management.pdf,HIGH,ok,
Agriculture,Ministrys-Strategic-Plan-for-2023-2027-Final-Version-for-validation-and-Stakeholder-Engagement-19.12.2023-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Ministrys-Strategic-Plan-for-2023-2027-Final-Version-for-validation-and-Stakeholder-Engagement-19.12.2023-1.pdf,MINISTRY OF AGRICULTURE AND LIVESTOCK DEVELOPMENT STRATEGIC PLAN 2023 – 2027,2023-Strategic-Plan-MoALFD-Strategic-Plan.pdf,HIGH,ok,
Agriculture,NATIONAL-CASSAVA-CONFERENCE-AND-EXPO-DIGITAL-REPORT.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NATIONAL-CASSAVA-CONFERENCE-AND-EXPO-DIGITAL-REPORT.pdf,NATIONAL CASSAVA CONFERENCE AND EXPO DIGITAL REPORT,2023-Conference-Report-KALRO-Cassava-Conference.pdf,MEDIUM,ok,
Agriculture,NCPB-National-Food-ReserveRegulations-National-Validation-Copy.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NCPB-National-Food-ReserveRegulations-National-Validation-Copy.pdf,"The National Cereals and Produce Board (National Food Reserve) Regulations, 2021",2021-Regulations-NCPB-National-Food-Reserve.pdf,HIGH,partial,
Agriculture,NIAstrategicplan2023_2027.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NIAstrategicplan2023_2027.pdf,NATIONAL IRRIGATION AUTHORITY STRATEGIC PLAN (2023-2027),2023-Strategic-Plan-NIA-Water-Security.pdf,HIGH,ok,
Agriculture,NSAFS-Facilitators-Manual-Draft-i-compressed.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/NSAFS-Facilitators-Manual-Draft-i-compressed.pdf,National Training Package on Nutrition Sensitive Agriculture and Food Systems’ Programmes Facilitator’s Guide,2023-Manual-KALRO-Nutrition-Sensitive-Agriculture-v1.pdf,MEDIUM,ok,
Agriculture,National-Agriculture-Production-Report-2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Agriculture-Production-Report-2024.pdf,NATIONAL AGRICULTURE PRODUCTION REPORT 2024,2024-Statistics-Report-KALRO-Agriculture-Production.pdf,HIGH,ok,
Agriculture,National-Agriculture-Production-Report-2025.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Agriculture-Production-Report-2025.pdf,National Agriculture Production Report 2025,2025-Statistics-Report-KALRO-Agriculture-Production.pdf,HIGH,ok,
